	Low-Range	Mid-Range	High-Range	Husky/Throaty	Thick	Thin	Warm	Lonely	Passion	Pretty	Sad	Bright	Clear	Relaxed	Cute	Dark	Delicate	Emotional	Energetic	Male	Female	Mild/Soft	Charismatic	Whisper/Quiet	Sharp	Pure	Rich	Robotic/Artificial	Rounded	Embellishing	Stable	Sweet	Young	Soulful/R&B	 Ballad	Shouty	Vibrato	Falsetto	Breathy	Compressed	Dynamic	Speech-Like
58a677a6530a69823b4ae7ad	0	2	0	1	1	0	3	0	0	0	0	2	1	3	1	0	1	2	1	3	0	3	1	0	0	0	2	0	1	0	3	1	0	0	3	0	0	0	2	0	0	2
58a6779d530a69823b4ae7aa	0	2	0	2	1	0	0	2	1	0	1	0	1	0	0	1	0	0	3	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	1
58a677a9530a69823b4ae7ae	0	2	0	1	0	0	0	2	2	0	0	0	0	1	0	1	0	1	2	3	0	2	1	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	2	1	1	0
58a677ac530a69823b4ae7af	0	2	0	1	1	2	0	3	0	0	2	0	0	0	0	1	1	2	1	3	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	2	2	3	2	1	2
58a677b5530a69823b4ae7b2	0	1	0	1	0	2	2	3	0	2	2	0	2	1	0	1	1	3	1	0	3	2	1	3	0	1	1	0	1	0	2	0	2	0	3	2	0	1	3	0	1	1
58a677b8530a69823b4ae7b3	0	1	0	0	0	2	1	3	0	2	2	0	2	1	0	0	1	2	1	0	3	3	1	3	1	1	1	0	2	0	0	0	1	1	3	1	1	1	3	0	1	0
58a677af530a69823b4ae7b0	0	0	1	0	0	1	0	0	3	1	0	1	2	1	1	0	1	1	3	0	3	1	2	0	3	2	1	0	1	1	0	1	1	2	1	3	1	0	1	1	2	0
58a677b2530a69823b4ae7b1	0	0	1	0	0	2	1	1	1	2	0	1	2	1	1	0	3	3	1	0	3	3	2	2	1	2	1	0	1	1	2	1	2	1	0	1	0	0	2	1	3	1
58a677bb530a69823b4ae7b4	0	1	0	0	0	1	1	3	0	1	3	0	1	3	0	0	3	3	0	0	3	3	0	1	1	0	1	0	0	0	3	2	1	0	3	0	0	2	3	0	0	2
58a677be530a69823b4ae7b5	1	2	0	0	0	0	2	3	0	0	3	0	3	3	0	0	1	2	0	3	0	3	0	2	0	1	1	0	2	0	2	0	1	0	3	0	0	0	3	0	0	2
58a677c1530a69823b4ae7b6	0	2	0	0	0	2	1	2	2	0	3	1	3	1	0	0	1	2	1	3	0	2	2	0	2	0	1	0	1	0	2	0	1	0	2	2	1	1	3	0	1	1
58a677c4530a69823b4ae7b7	0	0	0	0	0	2	2	0	0	3	0	3	1	3	1	0	2	1	0	0	3	3	0	2	0	2	0	0	0	1	3	2	3	0	2	0	0	2	3	0	0	2
58a677c7530a69823b4ae7b8	0	0	0	0	0	2	2	3	1	2	0	1	2	2	1	0	2	2	1	0	3	2	1	1	0	2	1	0	2	0	1	1	1	1	3	0	0	1	2	0	1	2
58a677ca530a69823b4ae7b9	0	1	0	0	0	1	1	3	1	1	2	0	2	1	0	0	3	3	1	0	3	3	1	1	0	2	2	0	2	0	3	0	1	1	3	1	0	1	2	0	0	1
58a677cd530a69823b4ae7ba	0	1	0	0	0	1	0	2	1	2	0	0	2	1	0	0	2	2	1	0	3	2	0	1	0	2	2	0	1	0	1	0	2	1	1	1	0	1	2	1	2	0
58a677d0530a69823b4ae7bb	0	1	0	0	0	2	1	0	1	3	0	2	3	2	2	0	1	0	1	0	3	3	0	0	0	1	1	0	2	2	2	2	3	0	0	0	0	0	1	0	0	0
58a677d6530a69823b4ae7bd	0	2	0	0	0	3	1	2	1	0	0	1	3	2	0	0	3	3	1	3	0	3	1	2	1	2	1	0	2	0	1	1	0	0	2	1	1	0	2	2	1	1
58a677d3530a69823b4ae7bc	0	2	0	0	0	3	2	3	0	0	1	3	3	3	0	0	3	3	1	3	0	3	0	2	1	1	1	0	2	0	2	1	1	0	3	1	1	0	2	1	0	2
58a677d9530a69823b4ae7be	0	2	0	0	0	2	0	3	1	0	1	1	3	1	0	0	2	3	1	3	0	3	1	2	1	2	1	0	1	0	1	1	1	0	3	0	0	2	3	0	0	1
58a677dc530a69823b4ae7bf	0	2	0	0	0	3	1	3	0	1	2	1	2	3	0	0	3	3	1	3	0	2	0	2	0	2	1	0	2	0	2	0	1	0	3	0	0	3	3	0	0	2
58a677df530a69823b4ae7c0	0	2	0	1	0	2	2	3	1	0	0	1	2	0	0	0	2	3	1	3	0	3	1	2	1	1	2	0	1	0	1	1	1	0	3	0	1	1	3	0	1	0
58a677e5530a69823b4ae7c2	0	0	1	0	0	2	1	2	1	2	2	2	3	2	0	0	2	2	1	0	3	2	1	2	1	0	0	0	1	2	2	1	2	0	2	0	0	1	2	0	0	2
58a677e2530a69823b4ae7c1	0	0	0	0	0	2	1	0	2	2	0	1	2	0	1	0	1	0	3	0	3	1	3	0	1	1	1	0	1	2	1	0	1	0	0	1	0	0	2	1	1	0
58a677e8530a69823b4ae7c3	0	0	1	0	0	1	0	0	2	2	0	2	2	0	0	0	0	0	3	0	3	1	2	0	0	0	0	1	0	1	0	0	2	0	0	3	0	0	1	0	3	0
58a677eb530a69823b4ae7c4	0	0	1	0	0	1	0	0	3	1	0	2	3	0	0	0	0	0	3	0	3	0	0	0	2	0	0	1	0	1	0	0	1	0	0	2	0	0	0	2	3	0
58a677ee530a69823b4ae7c5	0	0	0	0	0	3	1	2	1	2	2	1	2	1	0	0	2	3	0	0	3	2	1	3	1	0	0	1	0	2	1	1	1	1	2	1	0	2	3	1	0	0
58a677f1530a69823b4ae7c6	0	2	0	2	0	1	0	2	0	0	2	0	0	1	0	0	1	3	1	3	0	1	0	0	1	0	2	0	0	1	0	0	0	1	1	2	1	0	1	1	2	0
58a677f4530a69823b4ae7c7	0	2	0	1	0	1	2	0	0	0	0	0	0	3	0	0	2	2	0	3	0	3	0	1	0	0	1	1	0	1	0	2	0	3	2	0	1	2	3	1	2	0
58a677f7530a69823b4ae7c8	0	2	0	2	0	1	2	2	1	0	1	0	1	1	0	0	2	3	1	3	0	3	0	2	0	0	1	0	0	1	1	2	1	3	2	0	1	3	2	0	2	1
58a677fa530a69823b4ae7c9	0	2	0	1	0	0	2	1	1	0	1	0	1	2	0	0	2	2	1	3	0	3	0	1	0	0	2	0	0	2	1	1	1	3	1	0	1	2	2	0	2	1
58a677fd530a69823b4ae7ca	0	2	0	2	0	0	0	2	1	0	3	0	1	1	0	1	2	3	1	3	0	1	0	1	0	0	1	0	0	0	1	0	1	2	2	1	1	1	2	0	2	1
58a67800530a69823b4ae7cb	0	0	0	0	0	2	0	2	0	1	1	0	3	1	1	0	1	1	0	0	3	1	0	1	0	2	0	0	1	0	1	1	3	1	2	0	0	1	3	0	0	0
58a67806530a69823b4ae7cd	0	1	1	1	0	0	2	2	0	1	2	0	1	2	0	1	1	2	0	0	3	3	0	1	0	1	0	0	1	0	3	1	1	0	3	0	0	1	1	0	0	0
58a67803530a69823b4ae7cc	0	2	1	0	0	0	0	0	0	3	0	3	2	1	3	0	0	0	1	0	3	1	0	1	0	2	0	1	0	1	2	1	3	0	0	0	1	1	1	2	0	0
58a67809530a69823b4ae7ce	0	2	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	3	1	0	1	0	0	1	0	0	1	1	1	2	1	0	0	1	2	3	0	1	0
58a6780c530a69823b4ae7cf	0	1	1	0	0	1	1	3	0	1	3	0	2	1	0	0	2	2	1	0	3	2	0	1	1	0	0	0	0	1	1	0	1	1	2	0	1	3	3	1	0	0
58a6780f530a69823b4ae7d0	0	0	0	0	0	1	0	0	1	2	0	0	1	1	0	0	0	0	3	0	3	1	0	1	1	0	0	1	0	1	1	1	3	0	0	2	0	3	2	1	2	0
58a67815530a69823b4ae7d2	0	0	1	0	0	1	0	0	3	1	0	0	1	1	0	1	1	0	3	0	3	1	2	1	1	0	3	0	0	1	1	0	1	2	0	2	1	1	1	1	3	0
58a67811530a69823b4ae7d1	0	0	1	0	0	1	0	0	2	2	0	2	3	1	1	0	0	0	2	0	3	1	0	1	1	0	0	0	0	1	1	1	2	0	0	0	1	1	2	1	0	0
58a67817530a69823b4ae7d3	0	0	0	0	0	2	2	1	0	2	0	1	2	2	0	0	2	2	0	0	3	3	0	1	0	2	0	0	0	0	2	0	1	0	3	0	0	1	3	0	0	0
58a6781b530a69823b4ae7d4	0	1	0	0	0	0	0	0	3	1	0	3	2	1	0	0	0	0	3	0	3	1	0	1	0	1	0	0	0	0	2	0	1	0	0	0	1	1	1	1	0	0
58a6781e530a69823b4ae7d5	0	0	0	0	0	1	0	0	1	1	0	3	3	1	0	0	0	0	3	0	2	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	1	2	1	1	0
58a67821530a69823b4ae7d6	0	0	0	0	0	1	0	2	0	0	3	1	3	1	0	0	1	1	0	0	3	0	0	1	2	1	0	0	0	0	2	0	2	0	3	0	0	1	1	0	0	0
58a67823530a69823b4ae7d7	0	0	0	0	0	1	0	3	0	1	2	1	3	0	0	0	2	2	0	0	3	0	0	0	2	1	0	0	0	0	0	0	1	0	3	2	0	1	1	2	0	0
58a67826530a69823b4ae7d8	0	1	0	0	0	1	0	3	0	0	3	0	3	0	0	0	1	1	0	0	3	0	0	3	1	1	0	0	0	0	2	0	1	0	3	1	1	1	2	2	0	0
58a67829530a69823b4ae7d9	0	2	0	0	0	1	3	2	0	0	1	0	2	1	0	0	2	1	0	0	3	2	0	3	0	1	0	0	0	0	1	1	1	0	3	0	0	1	2	0	0	1
58a6782c530a69823b4ae7da	0	0	0	0	0	1	0	2	0	0	2	1	3	0	0	1	0	1	0	0	3	0	0	2	1	0	0	0	0	0	2	0	1	0	3	1	1	1	1	3	0	0
58a6782f530a69823b4ae7db	0	3	1	1	1	0	1	0	2	0	0	0	0	1	0	0	0	1	3	0	3	1	0	1	0	0	1	1	0	2	1	0	1	3	0	0	2	1	2	1	2	0
58a67832530a69823b4ae7dc	0	3	1	1	1	0	2	1	2	0	0	0	0	1	0	1	0	2	3	0	3	1	0	0	0	0	0	1	0	2	1	0	1	3	0	0	2	1	1	1	2	0
58a67835530a69823b4ae7dd	0	2	0	0	0	2	1	0	0	0	0	3	1	3	0	0	0	0	0	3	0	3	0	1	0	0	0	1	1	2	1	3	1	3	0	0	2	1	2	0	1	0
58a67838530a69823b4ae7de	0	2	0	0	0	2	0	1	0	0	0	1	1	2	0	0	0	0	0	3	0	3	0	1	0	0	1	1	0	2	1	2	1	3	0	0	0	1	2	0	0	2
58a6783b530a69823b4ae7df	0	2	0	0	0	2	1	1	0	0	0	0	2	2	0	0	1	0	0	3	0	3	0	1	1	0	2	1	1	2	1	2	1	3	0	0	1	1	3	0	0	0
58a6783e530a69823b4ae7e0	0	2	0	0	0	2	1	0	0	0	0	1	2	2	0	0	1	0	0	3	0	3	0	1	1	0	0	1	1	3	1	2	1	3	0	0	1	2	3	2	2	0
58a67841530a69823b4ae7e1	0	2	0	0	0	2	1	0	0	0	0	1	2	2	0	0	1	0	0	3	0	3	0	1	1	0	0	1	1	3	1	2	1	3	0	0	0	1	3	1	0	1
58a67844530a69823b4ae7e2	0	0	1	1	0	3	1	0	1	0	0	1	3	1	0	0	3	3	2	0	3	2	1	1	2	0	2	0	0	1	1	0	1	2	1	2	1	2	3	0	2	0
58a67848530a69823b4ae7e3	0	0	1	2	0	3	2	1	2	2	0	2	2	1	0	0	3	3	1	0	3	1	1	2	2	2	1	0	0	1	2	0	1	3	1	3	0	1	2	1	3	0
58a6784b530a69823b4ae7e4	0	0	1	0	0	3	2	0	0	3	0	2	3	2	0	0	2	1	0	0	3	2	0	2	1	1	1	0	0	1	1	2	1	1	1	0	0	2	2	1	0	0
58a6784e530a69823b4ae7e5	0	0	1	0	0	3	1	0	1	1	0	1	3	2	0	0	3	3	2	0	3	1	0	1	2	0	2	0	0	1	0	0	1	3	1	1	1	2	1	1	2	0
58a67851530a69823b4ae7e6	0	0	1	1	0	3	0	1	1	0	0	1	3	2	0	0	3	3	1	0	3	3	1	2	3	0	1	0	0	1	1	0	1	3	0	1	0	1	2	1	1	0
58a67854530a69823b4ae7e7	0	2	1	0	0	0	2	0	0	1	0	0	2	3	0	0	0	0	0	0	3	3	0	1	0	0	2	0	2	2	2	0	2	1	1	0	0	1	2	0	0	0
58a67857530a69823b4ae7e8	0	2	1	0	0	0	2	1	0	0	1	0	1	3	0	0	0	1	0	0	3	3	0	0	0	0	2	0	1	1	2	0	1	1	1	0	0	1	2	2	0	0
58a6785d530a69823b4ae7ea	0	2	1	0	0	1	2	0	0	2	0	1	2	2	0	0	0	1	0	0	3	3	0	1	0	0	0	0	1	0	3	1	2	0	1	0	0	1	1	1	0	0
58a6785a530a69823b4ae7e9	0	2	1	0	1	0	2	3	0	1	1	0	1	2	0	0	2	1	0	0	3	3	0	3	0	0	0	0	2	0	2	1	1	2	1	0	0	2	3	1	1	1
58a67860530a69823b4ae7eb	0	2	1	0	0	0	1	3	0	0	1	0	2	3	0	0	0	2	0	0	3	3	0	1	0	1	1	0	1	0	2	0	1	0	2	0	0	1	2	1	1	0
